uniqueID,lat,long,XFT database,Group,Family,Genus,Species,class_gbif,order_gbif,family_gbif,binomial_gnr,genus_gnr,species_gnr,subsp/var/f/hybrid/mutant,subsp. Name,Plant organ,Developmental stage,Growth form,N / G,"Mega-, meso-, micro-, 4",Height max (m),Height actual (m),DBH (cm),Year,Month(s),Day,Hemisphere,P50,P50 number of samples,P50 SD,P50 SE,P12,P88,Curve,Equation,P50 method,Ks (kg m-1 MPa-1 s-1),"Ks SE (standard error, kg m-1 MPa-1 s-1)",KL (kg m-1 MPa-1 s-1),"KL SE (standard error, kg m-1 MPa-1 s-1)",psi-min predawn (MPa),SE psi-min predawn (MPa),psi- min midday (MPa),SE psi-min midday (MPa),Huber value (m2 m-2),Leaf to sapwood area ratio (m2 m-2),Sapwood capacitance (kg m-3 MPa-1),Av. tracheid length (?m),Av. vessel length (cm),Vessel length method,Max vessel length (cm),Av. conduit diameter (?m),dh mean hydraulic diameter (?m),Conduit density per mm2,Vessel grouping index,Ac (intervessel contact fraction),Intervessel pit membrane surface area (µm2),Interconduit pit diameter (?m),Outer pit aperture diameter (?m),Aperture/pit size,Pit membrane thickness (nm),Torus diameter (um),Torus overlap,Vestured pits,Fp (pit fraction),Ap (interconduit pit (membrane) area mm2),Porosity,Perforation plates,Ground tissue,Vasicentric tracheids,MOR (MPa),EI (N m2),MOE (MPa),t (interconduit cell wall thickness; um),(t/b)2,d (g/cm3),SLA (cm2 g-1),LMA (g m-2),Leaf size (cm2),K_leaf_max,Total stomata density,Stomatal index,Gs (mol m-2 s-1),Gsmin (mol m-2 s-1),Gcut (mol m-2 s-1),Phenology,Amax (micromol/m2/s),d13C,TLP (MPa),Location,Country,Altitude (m),Altitude provenance (m),Soil density (kg/m?),Sand (%),Clay (%),Silt (%) (= 100% - % clay - % sand),Short reference (authors year),Reference - DOI number,Contributor I name,Contributor II name = ROW DOUBLE-CHECKED,Notes
2321,42.81638889,0.797222222,2013-2020 period,angiosperm,Fagaceae,Fagus,sylvatica,Magnoliopsida,Fagales,Fagaceae,Fagus sylvatica,Fagus,sylvatica,,,S,A,T,N,1,35,27.18,,,,,,-2.214111705,5,0.253272833,,,,S,PW,DH,0.8758,0.112923098,7.92E-05,9.05E-06,,,,,7.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.552071023,32.88361232,,,,,,,,,,,-26.21600222,-1.613592,plot 250019,Spain,1266.595,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Fagus sylvatica L. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2322,42.67972222,0.704166667,2013-2020 period,angiosperm,Fagaceae,Fagus,sylvatica,Magnoliopsida,Fagales,Fagaceae,Fagus sylvatica,Fagus,sylvatica,,,S,A,T,N,1,35,18.1,,,,,,-2.132336711,5,0.416551697,,,,S,PW,DH,0.715266667,0.104751248,8.52E-05,8.85E-06,,,,,0.000121589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.606509457,24.1571934,,,,,,,,,,,-24.81458499,-1.61484,plot 250095,Spain,1482.316,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Fagus sylvatica L. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2323,42.6275,0.78,2013-2020 period,angiosperm,Fagaceae,Fagus,sylvatica,Magnoliopsida,Fagales,Fagaceae,Fagus sylvatica,Fagus,sylvatica,,,S,A,T,N,1,35,21.2,,,,,,-2.666041783,5,0.30982146,,,,S,PW,DH,0.617633333,0.248998039,7.57E-05,2.74E-05,,,,,0.000142331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504017298,23.44675336,,,,,,,,,,,-23.80646612,-1.811192,plot 250201,Spain,1817.322,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Fagus sylvatica L. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2324,42.18333333,1.823888889,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,8.42,,,,,,-1.601452238,5,0.094682757,,,,S,PW,DH,2.1009,0.357207894,0.000431593,0.000126315,,,,,0.000183605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646873595,11.51856779,,,,,,,,,,,-21.17505444,-2.12028,plot 80210,Spain,1361.981,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2325,42.075,1.79,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,9.96,,,,,,-2.633762186,5,0.180338883,,,,S,PW,DH,1.840933333,0.287233154,0.00035497,4.94E-05,,,,,0.000201425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568185683,9.36017698,,,,,,,,,,,-18.21991893,-2.435608,plot 80299,Spain,937.627,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2326,41.90083333,2.300833333,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,6.8,,,,,,-3.39107364,5,0.498011945,,,,S,PW,DH,1.367166667,0.199061988,0.00036298,8.89E-05,,,,,0.000276063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608102514,10.49725855,,,,,,,,,,,-19.85909285,-2.51548,plot 81427,Spain,NA,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2327,41.57166667,1.896388889,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,11.56,,,,,,-2.589253645,5,0.308645432,,,,S,PW,DH,2.1603,0.146726658,0.000386933,3.12E-05,,,,,0.000184911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652250579,9.334917525,,,,,,,,,,,-19.39444549,,plot 82910,Spain,379.874,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2328,41.7825,2.133611111,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,11.28,,,,,,-2.163468689,5,0.315401459,,,,S,PW,DH,1.602933333,0.278906758,0.000257657,3.76E-05,,,,,0.00014754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708460745,11.19312503,,,,,,,,,,,-19.8781101,-2.357816,plot 84043,Spain,NA,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2329,42.13638889,2.576111111,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,20.38,,,,,,-1.995333479,5,0.237517606,,,,S,PW,DH,2.726966667,0.30348295,0.000432318,5.85E-05,,,,,0.000159265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.700852236,13.26191022,,,,,,,,,,,-22.02947944,-2.143992,plot 171402,Spain,NA,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2330,42.07277778,2.504166667,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,11.48,,,,,,-2.059228239,5,0.121484658,,,,S,PW,DH,2.423333333,0.44833658,0.000476934,0.000111682,,,,,0.00019886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671577445,11.70957436,,,,,,,,,,,-21.34243547,-2.208056,plot 171521,Spain,NA,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2331,42.03527778,2.575833333,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,18.44,,,,,,-1.806220425,5,0.257822174,,,,S,PW,DH,2.8448,0.282393005,0.000522141,0.000101148,,,,,0.000177933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602497022,14.82260424,,,,,,,,,,,-22.3287573,-2.195992,plot 171605,Spain,256.875,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2332,41.97305556,2.660555556,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,14.7,,,,,,-2.509534077,5,0.396402007,,,,S,PW,DH,2.832266667,0.279921564,0.000522595,7.33E-05,,,,,0.000187743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626192968,13.63678287,,,,,,,,,,,-21.87884505,-2.242584,plot 171953,Spain,156.847,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2333,42.36916667,0.958055556,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,9.94,,,,,,-2.380192923,5,0.248202251,,,,S,PW,DH,3.031333333,0.212458754,0.000499233,0.00010678,,,,,0.000229036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607522068,10.52003564,,,,,,,,,,,-19.98800132,-2.462648,plot 250681,Spain,1039.521,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2334,42.34277778,1.019722222,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,11.02,,,,,,-2.813417868,5,0.244445682,,,,S,PW,DH,1.901633333,0.135630159,0.000242827,1.28E-05,,,,,0.000147017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572629874,13.09831385,,,,,,,,,,,-21.78763719,-2.213048,plot 250726,Spain,1099.276,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2335,42.33138889,0.862777778,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,11.82,,,,,,-2.145603082,5,0.140357376,,,,S,PW,DH,2.583066667,0.273585989,0.0005147,0.000140998,,,,,0.000184082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.540027903,12.00952393,,,,,,,,,,,-21.50987094,-2.254232,plot 251178,Spain,1173.21,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2336,42.32194444,1.421111111,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,8.04,,,,,,-4.039926947,5,0.338393062,,,,S,PW,DH,1.866066667,0.369556162,0.00029982,4.89E-05,,,,,0.00015134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602664221,11.9807976,,,,,,,,,,,-19.8358505,-2.504248,plot 251341,Spain,903.697,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2337,42.34138889,0.911111111,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,12.72,,,,,,-2.011724328,5,0.27928936,,,,S,PW,DH,2.445466667,0.14808836,0.000445233,7.06E-05,,,,,0.000286709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557299433,12.85003694,,,,,,,,,,,-21.25767878,-2.4406,plot 254156,Spain,819.824,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2338,42.32305556,1.469722222,2013-2020 period,angiosperm,Fagaceae,Quercus,humilis,Magnoliopsida,Fagales,Fagaceae,Quercus humilis,Quercus,humilis,,,S,A,T,N,1,20,8.36,,,,,,-2.703533676,5,0.130566874,,,,S,PW,DH,2.356833333,0.29155637,0.000395,4.84E-05,,,,,0.000207378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646094615,10.94638884,,,,,,,,,,,-19.32478462,-2.451832,plot 254249,Spain,1064.809,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Quercus humilis. were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2339,41.99805556,2.358888889,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,7.8,,,,,,-3.911140951,5,0.406268879,,,,S,PW,DH,0.848266667,0.077446498,0.000215549,2.08E-05,,,,,0.000185917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784546797,6.603156316,,,,,,,,,,,-21.25979752,-2.478456,plot 81296,Spain,582.663,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2340,41.98916667,2.346944444,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,6.54,,,,,,-3.708428737,5,0.172104735,,,,S,PW,DH,0.862536667,0.10023278,0.000404022,1.77E-05,,,,,0.000336845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814465872,6.472141571,,,,,,,,,,,-20.46799408,,plot 81302,Spain,528.629,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2341,42.44166667,2.962777778,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,8.36,,,,,,-4.134536585,5,0.328803223,,,,S,PW,DH,1.5878,0.322302917,0.00061,0.000105331,,,,,0.000201291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.807743167,5.592798366,,,,,,,,,,,-22.77056284,-2.74428,plot 170227,Spain,327.816,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2342,42.23222222,2.381388889,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,9.5,,,,,,-3.187988464,5,0.350541796,,,,S,PW,DH,1.256633333,0.275998195,0.000334057,6.54E-05,,,,,0.000199268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764554882,6.986322713,,,,,,,,,,,-23.77239926,-2.217624,plot 170640,Spain,667.852,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2343,42.18833333,2.6725,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,8.7,,,,,,-3.255183967,5,0.251508395,,,,S,PW,DH,1.432866667,0.194228806,0.000285667,4.56E-05,,,,,0.000127352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793431955,8.016806725,,,,,,,,,,,-23.65531158,-2.445176,plot 171105,Spain,428.735,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2344,42.125,2.466388889,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,10.3,,,,,,-3.507747993,5,0.303288706,,,,S,PW,DH,1.209266667,0.11316687,0.000445293,6.12E-05,,,,,0.000206077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794450546,7.063677699,,,,,,,,,,,-23.03837937,-2.3808,plot 171323,Spain,602.854,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2345,42.06305556,2.757222222,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,8.2,,,,,,-3.666626397,5,0.260376363,,,,S,PW,DH,0.733,0.116884653,0.000206523,2.39E-05,,,,,0.000263231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818030943,5.869403848,,,,,,,,,,,-20.17825321,-2.7838,plot 171554,Spain,435.926,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2346,42.03694444,2.686388889,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,7.62,,,,,,-3.956577253,5,0.143248682,,,,S,PW,DH,1.0304,0.128563653,0.0002942,3.80E-05,,,,,0.000122677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786607391,6.556752875,,,,,,,,,,,-21.8003629,-2.685208,plot 171613,Spain,NA,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2347,41.81916667,2.480833333,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,11.96,,,,,,-4.092590616,5,0.328407324,,,,S,PW,DH,0.815833333,0.022709335,0.000258307,4.98E-05,,,,,7.52E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74290981,8.246562395,,,,,,,,,,,-23.98748406,-2.541688,plot 172567,Spain,480.885,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2348,42.29777778,0.986388889,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,7.3,,,,,,-3.603525662,5,0.276325066,,,,S,PW,DH,0.7598,0.070918878,0.000310973,6.06E-05,,,,,0.000329959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.791904067,5.726830753,,,,,,,,,,,-21.51623032,-2.423128,plot 251209,Spain,1182.455,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2349,42.06638889,1.137777778,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,6.7,,,,,,-3.863212842,5,0.198885115,,,,S,PW,DH,0.9168,0.207210946,0.000345584,0.00013416,,,,,0.000378748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798372124,5.232713675,,,,,,,,,,,-20.68805241,-2.783106667,plot 251899,Spain,952.386,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2350,42.02861111,1.053333333,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,5.68,,,,,,-3.51576172,5,0.225241409,,,,S,PW,DH,0.807133333,0.064791233,0.000404667,4.25E-05,,,,,0.000294225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778407728,4.730136055,,,,,,,,,,,-19.4852299,-2.459736,plot 251955,Spain,984.318,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2351,41.345,1.074722222,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,12.04,,,,,,-3.369639166,5,0.220596557,,,,S,PW,DH,0.8268,0.149644369,0.000264763,5.83E-05,,,,,0.000234331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.803108575,7.820412315,,,,,,,,,,,-23.52122561,-2.7006,plot 430121,Spain,873.13,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2352,41.36638889,1.231111111,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,7.1,,,,,,-3.550982682,5,0.336145593,,,,S,PW,DH,1.184333333,0.124716401,0.000503267,6.43E-05,,,,,0.000560963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796029363,5.380663625,,,,,,,,,,,-21.38269978,-2.575384,plot 430250,Spain,626.536,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
2353,41.35222222,1.0025,2013-2020 period,angiosperm,Fagaceae,Quercus,ilex,Magnoliopsida,Fagales,Fagaceae,Quercus ilex,Quercus,ilex,,,S,A,T,N,1,15,4.92,,,,,,-3.500820845,5,0.160765958,,,,S,PW,DH,0.9267,0.102812415,0.00057155,0.000102172,,,,,0.000258797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818743957,4.729310615,,,,,,,,,,,-19.75979198,-3.18316,plot 432002,Spain,953.735,,,,,,Rosas et al. 2019,10.1111/nph.15684,Mencuccini/Poyatos,Scott McAdam,"Height actualÕ corresponds to mean tree height. Delta13C calculated assuming air delta13C = -8 permil. Ks,max values for Q ilex were measured in 2-cm long segments. Hence they give conduit lumen conductivity, not xylem specific conductivity."
